stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
2.0,2.0,1.0,1.0,,,,,,,4.0,517.0,559.0,547.0,591.0,16.0,,,19.0,19.0,,,1076.0,1138.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0
2.0,1.0,1.0,2.0,,,,1.0,604.0,627.0,8.0,637.0,632.0,,,,,73.0,73.0,,,1231.0,1269.0,,,0.0,0.0,,,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,
2.0,2.0,2.0,1.0,,,,,,,,,,629.0,659.0,6.0,,,,61.0,,,,1288.0,,,,0.0,,,,1.0,1.0,0.0,0.0,1.0,,,,0.0
1.0,2.0,1.0,1.0,4.0,445.0,494.0,,,,28.0,622.0,615.0,633.0,629.0,1.0,48.0,,48.0,48.0,939.0,,1237.0,1262.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0
2.0,2.0,2.0,1.0,,,,,,,,,,555.0,582.0,6.0,,,,52.0,,,,1137.0,,,,1.0,,,,0.0,1.0,0.0,0.0,0.0,,,,0.0
1.0,1.0,1.0,1.0,3.0,407.0,478.0,6.0,501.0,497.0,28.0,577.0,587.0,597.0,612.0,11.0,15.0,15.0,15.0,15.0,885.0,998.0,1164.0,1209.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,2.0,17.0,397.0,365.0,,,,,,,,,,16.0,,,,762.0,,,,0.0,,,,1.0,,,,0.0,1.0,0.0,1.0,1.0,,,
2.0,2.0,1.0,1.0,,,,,,,16.0,622.0,593.0,654.0,593.0,11.0,,,16.0,16.0,,,1215.0,1247.0,,,0.0,0.0,,,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0
1.0,1.0,1.0,1.0,14.0,448.0,449.0,11.0,544.0,523.0,8.0,575.0,557.0,616.0,634.0,16.0,36.0,36.0,34.0,34.0,897.0,1067.0,1132.0,1250.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2.0,2.0,1.0,1.0,,,,,,,9.0,557.0,535.0,592.0,,8.0,,,58.0,58.0,,,1092.0,,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0
2.0,2.0,1.0,1.0,,,,,,,0.0,559.0,572.0,600.0,622.0,23.0,,,63.0,63.0,,,1131.0,1222.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0
2.0,2.0,1.0,1.0,,,,,,,13.0,586.0,626.0,612.0,606.0,30.0,,,1.0,1.0,,,1212.0,1218.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0
2.0,1.0,1.0,1.0,,,,9.0,487.0,518.0,2.0,564.0,574.0,597.0,636.0,19.0,,68.0,68.0,68.0,,1005.0,1138.0,1233.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.0,1.0,1.0,2.0,13.0,455.0,478.0,6.0,651.0,549.0,20.0,669.0,603.0,,,,8.0,8.0,8.0,,933.0,1200.0,1272.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,2.0,2.0,2.0,413.0,454.0,38.0,509.0,526.0,,,,,,,16.0,16.0,,,867.0,1035.0,,,1.0,1.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,1.0,1.0,,
2.0,1.0,2.0,2.0,,,,12.0,514.0,538.0,,,,,,,,66.0,,,,1052.0,,,,0.0,,,,0.0,,,0.0,0.0,1.0,1.0,,0.0,,
1.0,1.0,1.0,1.0,8.0,422.0,454.0,19.0,533.0,542.0,6.0,650.0,639.0,612.0,663.0,17.0,38.0,38.0,38.0,38.0,876.0,1075.0,1289.0,1275.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,2.0,21.0,440.0,468.0,1.0,564.0,532.0,,,,,,,40.0,40.0,,,908.0,1096.0,,,0.0,0.0,,,1.0,0.0,,,1.0,0.0,0.0,0.0,1.0,1.0,,
2.0,2.0,2.0,1.0,,,,,,,,,,612.0,648.0,17.0,,,,49.0,,,,1260.0,,,,1.0,,,,0.0,1.0,0.0,0.0,1.0,,,,1.0
2.0,2.0,1.0,1.0,,,,,,,10.0,,,626.0,589.0,22.0,,,43.0,43.0,,,,1215.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0
2.0,1.0,2.0,2.0,,,,17.0,497.0,512.0,,,,,,,,14.0,,,,1009.0,,,,0.0,,,,1.0,,,0.0,1.0,0.0,0.0,,1.0,,
2.0,1.0,1.0,1.0,,,,1.0,544.0,592.0,1.0,512.0,556.0,595.0,579.0,11.0,,45.0,45.0,45.0,,1136.0,1068.0,1174.0,,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0
1.0,1.0,1.0,1.0,2.0,455.0,513.0,5.0,604.0,557.0,3.0,588.0,577.0,629.0,634.0,12.0,40.0,40.0,40.0,40.0,968.0,1161.0,1165.0,1263.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,,,,37.0,456.0,497.0,,,,,,,,31.0,,,,953.0,,,,0.0,,,,0.0,,,0.0,1.0,0.0,0.0,,1.0,,
2.0,1.0,1.0,1.0,,,,3.0,501.0,507.0,11.0,577.0,565.0,602.0,622.0,4.0,,55.0,55.0,55.0,,1008.0,1142.0,1224.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
2.0,2.0,1.0,2.0,,,,,,,1.0,557.0,626.0,,,,,,45.0,,,,1183.0,,,,0.0,,,,1.0,,0.0,1.0,0.0,1.0,,,1.0,
1.0,2.0,2.0,2.0,4.0,393.0,423.0,,,,,,,,,,20.0,,,,816.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,1.0,0.0,,,
1.0,2.0,2.0,2.0,10.0,437.0,559.0,,,,,,,,,,30.0,,,,996.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,1.0,1.0,,,
1.0,1.0,1.0,1.0,17.0,425.0,478.0,6.0,558.0,557.0,12.0,614.0,599.0,661.0,608.0,14.0,34.0,34.0,34.0,34.0,903.0,1115.0,1213.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,2.0,2.0,8.0,390.0,399.0,,,,,,,,,,57.0,,,,789.0,,,,0.0,,,,1.0,,,,1.0,0.0,0.0,1.0,1.0,,,
2.0,1.0,1.0,1.0,,,,2.0,495.0,468.0,15.0,573.0,572.0,606.0,594.0,18.0,,51.0,51.0,51.0,,963.0,1145.0,1200.0,,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0
1.0,1.0,1.0,2.0,6.0,437.0,494.0,12.0,548.0,518.0,23.0,,,,,,50.0,50.0,50.0,,931.0,1066.0,,,1.0,1.0,1.0,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
2.0,1.0,1.0,1.0,,,,2.0,466.0,532.0,13.0,535.0,570.0,641.0,614.0,31.0,,29.0,29.0,29.0,,998.0,1105.0,1255.0,,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0
2.0,1.0,2.0,2.0,,,,22.0,530.0,549.0,,,,,,,,37.0,,,,1079.0,,,,0.0,,,,1.0,,,1.0,0.0,0.0,1.0,,0.0,,
1.0,2.0,2.0,2.0,11.0,422.0,423.0,,,,,,,,,,6.0,,,,845.0,,,,0.0,,,,1.0,,,,1.0,0.0,0.0,1.0,0.0,,,
2.0,1.0,1.0,1.0,,,,15.0,483.0,477.0,20.0,602.0,550.0,626.0,586.0,20.0,,60.0,60.0,60.0,,960.0,1152.0,1212.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
2.0,1.0,1.0,1.0,,,,18.0,548.0,601.0,15.0,631.0,639.0,657.0,700.0,20.0,,41.0,41.0,41.0,,1149.0,1270.0,1357.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,583.0,559.0,4.0,,,,20.0,,,,1142.0,,,,0.0,,,,1.0,0.0,1.0,0.0,1.0,,,,1.0
2.0,2.0,1.0,1.0,,,,,,,2.0,588.0,590.0,610.0,634.0,8.0,,,22.0,22.0,,,1178.0,1244.0,,,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,1.0
1.0,1.0,1.0,2.0,24.0,436.0,473.0,2.0,474.0,542.0,3.0,577.0,582.0,,,,44.0,44.0,44.0,,909.0,1016.0,1159.0,,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,
2.0,1.0,2.0,2.0,,,,5.0,451.0,479.0,,,,,,,,2.0,,,,930.0,,,,0.0,,,,0.0,,,1.0,0.0,0.0,1.0,,1.0,,
2.0,2.0,2.0,1.0,,,,,,,,,,600.0,612.0,9.0,,,,2.0,,,,1212.0,,,,1.0,,,,0.0,1.0,0.0,0.0,0.0,,,,1.0
2.0,2.0,1.0,1.0,,,,,,,9.0,554.0,541.0,604.0,610.0,26.0,,,16.0,16.0,,,1095.0,1214.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0
2.0,1.0,2.0,2.0,,,,20.0,571.0,601.0,,,,,,,,9.0,,,,1172.0,,,,0.0,,,,0.0,,,1.0,0.0,0.0,1.0,,0.0,,
1.0,1.0,2.0,1.0,6.0,414.0,459.0,12.0,,493.0,,,,,580.0,14.0,62.0,62.0,,70.0,873.0,,,,1.0,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0
1.0,1.0,1.0,1.0,24.0,495.0,559.0,2.0,465.0,495.0,1.0,554.0,568.0,585.0,606.0,3.0,30.0,30.0,30.0,30.0,1054.0,960.0,1122.0,1191.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,641.0,651.0,6.0,,,,64.0,,,,1292.0,,,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,,,0.0
1.0,1.0,1.0,1.0,21.0,455.0,576.0,1.0,536.0,529.0,12.0,584.0,572.0,618.0,606.0,3.0,40.0,40.0,40.0,40.0,1031.0,1065.0,1156.0,1224.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,2.0,418.0,494.0,38.0,490.0,549.0,10.0,562.0,572.0,588.0,593.0,29.0,16.0,16.0,16.0,16.0,912.0,1039.0,1134.0,1181.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,18.0,497.0,602.0,20.0,629.0,592.0,15.0,627.0,632.0,657.0,659.0,5.0,41.0,41.0,41.0,41.0,1099.0,1221.0,1259.0,1316.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,8.0,425.0,500.0,14.0,530.0,545.0,6.0,604.0,584.0,620.0,596.0,2.0,76.0,77.0,77.0,77.0,925.0,1075.0,1188.0,1216.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,2.0,,,,12.0,,,,,,,,,,62.0,,,,,,,,1.0,,,,0.0,,,1.0,0.0,0.0,1.0,,1.0,,
1.0,1.0,2.0,2.0,2.0,451.0,449.0,5.0,475.0,481.0,,,,,,,40.0,40.0,,,900.0,956.0,,,0.0,0.0,,,0.0,1.0,,,1.0,0.0,0.0,1.0,1.0,1.0,,
1.0,1.0,1.0,1.0,12.0,442.0,494.0,8.0,495.0,538.0,1.0,536.0,615.0,606.0,642.0,8.0,46.0,46.0,46.0,46.0,936.0,1033.0,1151.0,1248.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,12.0,456.0,484.0,9.0,590.0,526.0,8.0,575.0,620.0,590.0,614.0,15.0,63.0,63.0,63.0,63.0,940.0,1116.0,1195.0,1204.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2.0,2.0,1.0,1.0,,,,,,,3.0,,,626.0,645.0,22.0,,,58.0,58.0,,,,1271.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0
1.0,1.0,2.0,2.0,1.0,413.0,489.0,17.0,471.0,518.0,,,,,,,14.0,14.0,,,902.0,989.0,,,0.0,0.0,,,1.0,1.0,,,0.0,1.0,0.0,1.0,1.0,1.0,,
2.0,1.0,1.0,1.0,,,,9.0,,,11.0,586.0,632.0,604.0,634.0,13.0,,3.0,3.0,3.0,,,1218.0,1238.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0
1.0,1.0,2.0,2.0,5.0,413.0,439.0,8.0,450.0,495.0,,,,,,,9.0,9.0,,,852.0,945.0,,,0.0,0.0,,,0.0,1.0,,,1.0,0.0,0.0,1.0,1.0,1.0,,
1.0,1.0,1.0,2.0,21.0,,,1.0,579.0,612.0,3.0,,,,,,40.0,40.0,40.0,,,1191.0,,,0.0,0.0,0.0,,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,
2.0,1.0,1.0,1.0,,,,9.0,501.0,592.0,19.0,582.0,574.0,633.0,608.0,11.0,,74.0,74.0,74.0,,1093.0,1156.0,1241.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0
2.0,1.0,1.0,2.0,,,,32.0,463.0,538.0,7.0,508.0,528.0,,,,,20.0,20.0,,,1001.0,1036.0,,,1.0,1.0,,,0.0,0.0,,0.0,1.0,0.0,0.0,,1.0,0.0,
1.0,1.0,2.0,2.0,11.0,,,1.0,497.0,542.0,,,,,,,51.0,51.0,,,,1039.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,
2.0,1.0,2.0,2.0,,,,15.0,590.0,578.0,,,,,,,,10.0,,,,1168.0,,,,1.0,,,,0.0,,,1.0,0.0,0.0,1.0,,1.0,,
2.0,2.0,2.0,1.0,,,,,,,,,,569.0,582.0,7.0,,,,20.0,,,,1151.0,,,,0.0,,,,0.0,0.0,1.0,0.0,1.0,,,,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,614.0,577.0,8.0,,,,25.0,,,,1191.0,,,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,,,1.0
1.0,1.0,2.0,2.0,5.0,425.0,489.0,11.0,492.0,523.0,,,,,,,37.0,37.0,,,914.0,1015.0,,,0.0,0.0,,,0.0,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,
1.0,1.0,1.0,1.0,4.0,411.0,444.0,20.0,536.0,512.0,8.0,524.0,,549.0,571.0,16.0,35.0,35.0,34.0,34.0,855.0,1048.0,,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,2.0,,,,12.0,454.0,479.0,6.0,,,,,,,60.0,60.0,,,933.0,,,,1.0,1.0,,,0.0,0.0,,1.0,0.0,0.0,1.0,,1.0,1.0,
2.0,1.0,2.0,2.0,,,,22.0,553.0,578.0,,,,,,,,37.0,,,,1131.0,,,,0.0,,,,1.0,,,1.0,0.0,0.0,0.0,,0.0,,
2.0,1.0,2.0,2.0,,,,18.0,548.0,557.0,,,,,,,,25.0,,,,1105.0,,,,0.0,,,,0.0,,,0.0,1.0,0.0,0.0,,1.0,,
2.0,2.0,1.0,2.0,,,,,,,9.0,577.0,557.0,,,,,,59.0,,,,1134.0,,,,1.0,,,,0.0,,0.0,1.0,0.0,0.0,,,1.0,
1.0,1.0,2.0,2.0,8.0,448.0,506.0,1.0,448.0,468.0,,,,,,,68.0,68.0,,,954.0,916.0,,,1.0,1.0,,,0.0,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,,
1.0,1.0,2.0,2.0,0.0,425.0,528.0,14.0,412.0,474.0,,,,,,,31.0,31.0,,,953.0,886.0,,,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,1.0,1.0,,
1.0,2.0,2.0,2.0,13.0,393.0,412.0,,,,,,,,,,79.0,,,,805.0,,,,0.0,,,,0.0,,,,1.0,0.0,0.0,0.0,1.0,,,
1.0,1.0,1.0,2.0,2.0,410.0,418.0,4.0,466.0,490.0,14.0,569.0,570.0,,,,32.0,32.0,32.0,,828.0,956.0,1139.0,,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,
1.0,2.0,2.0,2.0,6.0,398.0,459.0,,,,,,,,,,39.0,,,,857.0,,,,1.0,,,,0.0,,,,1.0,0.0,0.0,1.0,1.0,,,
2.0,2.0,1.0,2.0,,,,,,,14.0,622.0,699.0,,,,,,79.0,,,,1321.0,,,,1.0,,,,0.0,,1.0,0.0,0.0,1.0,,,1.0,
2.0,1.0,1.0,1.0,,,,9.0,548.0,538.0,33.0,627.0,577.0,647.0,631.0,18.0,,19.0,19.0,19.0,,1086.0,1204.0,1278.0,,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0
1.0,2.0,2.0,2.0,9.0,434.0,489.0,,,,,,,,,,18.0,,,,923.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,1.0,0.0,,,
2.0,2.0,1.0,1.0,,,,,,,3.0,588.0,554.0,557.0,574.0,14.0,,,44.0,44.0,,,1142.0,1131.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0
2.0,2.0,1.0,1.0,,,,,,,27.0,573.0,596.0,602.0,651.0,23.0,,,52.0,52.0,,,1169.0,1253.0,,,1.0,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0
2.0,1.0,1.0,2.0,,,,1.0,451.0,529.0,7.0,,,,,,,29.0,32.0,,,980.0,,,,0.0,0.0,,,1.0,0.0,,0.0,1.0,0.0,1.0,,1.0,1.0,
2.0,2.0,2.0,1.0,,,,,,,,,,557.0,552.0,26.0,,,,16.0,,,,1109.0,,,,0.0,,,,1.0,0.0,1.0,0.0,1.0,,,,1.0
2.0,2.0,1.0,1.0,,,,,,,2.0,591.0,556.0,602.0,636.0,1.0,,,47.0,47.0,,,1147.0,1238.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0
1.0,1.0,1.0,1.0,15.0,,,9.0,,,31.0,535.0,557.0,560.0,606.0,,7.0,7.0,7.0,7.0,,,1092.0,1166.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,2.0,27.0,425.0,434.0,,,,,,,,,,40.0,,,,859.0,,,,1.0,,,,0.0,,,,1.0,0.0,0.0,0.0,1.0,,,
1.0,1.0,1.0,2.0,19.0,424.0,559.0,1.0,519.0,545.0,8.0,588.0,632.0,,,,73.0,73.0,73.0,,983.0,1064.0,1220.0,,0.0,0.0,0.0,,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
2.0,1.0,2.0,2.0,,,,6.0,,,,,,,,,,58.0,,,,,,,,0.0,,,,1.0,,,,,,,,0.0,,
2.0,1.0,2.0,2.0,,,,2.0,423.0,446.0,,,,,,,,44.0,,,,869.0,,,,0.0,,,,1.0,,,0.0,1.0,0.0,1.0,,1.0,,
2.0,2.0,2.0,1.0,,,,,,,,,,595.0,582.0,22.0,,,,24.0,,,,1177.0,,,,0.0,,,,1.0,0.0,1.0,0.0,1.0,,,,
2.0,1.0,2.0,2.0,,,,36.0,503.0,545.0,,,,,,,,33.0,,,,1048.0,,,,0.0,,,,1.0,,,0.0,1.0,0.0,1.0,,1.0,,
1.0,2.0,2.0,2.0,7.0,430.0,478.0,,,,,,,,,,28.0,,,,908.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,1.0,1.0,,,
1.0,1.0,1.0,1.0,3.0,470.0,626.0,9.0,524.0,612.0,2.0,591.0,533.0,614.0,629.0,8.0,22.0,22.0,22.0,22.0,1096.0,1136.0,1124.0,1243.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,2.0,14.0,565.0,626.0,,,,,,,,,,1.0,,,,1191.0,,,,1.0,,,,0.0,,,,1.0,0.0,0.0,1.0,0.0,,,
1.0,1.0,1.0,1.0,1.0,421.0,473.0,15.0,482.0,500.0,11.0,593.0,565.0,602.0,603.0,18.0,57.0,57.0,57.0,57.0,894.0,982.0,1158.0,1205.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,2.0,,,,17.0,447.0,439.0,,,,,,,,79.0,,,,886.0,,,,0.0,,,,0.0,,,1.0,0.0,0.0,1.0,,0.0,,
2.0,1.0,1.0,1.0,,,,18.0,482.0,542.0,15.0,562.0,593.0,569.0,620.0,15.0,,77.0,77.0,77.0,,1024.0,1155.0,1189.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0
2.0,1.0,1.0,1.0,,,,1.0,434.0,484.0,17.0,492.0,510.0,,,5.0,,51.0,51.0,51.0,,918.0,1002.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0
1.0,1.0,1.0,1.0,10.0,538.0,513.0,9.0,651.0,562.0,8.0,650.0,607.0,680.0,691.0,15.0,63.0,63.0,63.0,63.0,1051.0,1213.0,1257.0,1371.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,2.0,6.0,397.0,418.0,32.0,451.0,474.0,0.0,554.0,561.0,,,,33.0,33.0,33.0,,815.0,925.0,1115.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,
1.0,1.0,2.0,2.0,6.0,410.0,454.0,7.0,451.0,479.0,,,,,,,2.0,2.0,,,864.0,930.0,,,0.0,0.0,,,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,,
2.0,1.0,1.0,1.0,,,,17.0,548.0,562.0,17.0,611.0,607.0,618.0,663.0,12.0,,79.0,79.0,79.0,,1110.0,1218.0,1281.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.0,1.0,1.0,1.0,9.0,455.0,602.0,5.0,512.0,545.0,0.0,586.0,570.0,670.0,659.0,15.0,12.0,12.0,12.0,12.0,1057.0,1057.0,1156.0,1329.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,15.0,407.0,463.0,4.0,571.0,567.0,35.0,611.0,632.0,675.0,626.0,2.0,47.0,47.0,47.0,47.0,870.0,1138.0,1243.0,1301.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,13.0,510.0,559.0,16.0,571.0,653.0,4.0,618.0,620.0,622.0,672.0,14.0,11.0,11.0,11.0,11.0,1069.0,1224.0,1238.0,1294.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,2.0,11.0,442.0,520.0,32.0,474.0,549.0,4.0,568.0,593.0,,,,27.0,27.0,27.0,,962.0,1023.0,1161.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
1.0,1.0,1.0,1.0,9.0,450.0,468.0,20.0,544.0,562.0,19.0,618.0,648.0,606.0,655.0,2.0,65.0,65.0,65.0,65.0,918.0,1106.0,1266.0,1261.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,16.0,439.0,500.0,16.0,,490.0,8.0,526.0,546.0,,,12.0,69.0,69.0,69.0,69.0,939.0,,1072.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,,,,11.0,533.0,584.0,14.0,596.0,603.0,629.0,667.0,10.0,,55.0,55.0,55.0,,1117.0,1199.0,1296.0,,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0
1.0,1.0,1.0,1.0,2.0,461.0,547.0,17.0,448.0,477.0,2.0,492.0,568.0,626.0,610.0,3.0,30.0,30.0,30.0,30.0,1008.0,925.0,1060.0,1236.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,2.0,24.0,518.0,559.0,,,,,,,,,,30.0,,,,1077.0,,,,0.0,,,,1.0,,,,0.0,1.0,0.0,1.0,0.0,,,
1.0,1.0,1.0,1.0,15.0,434.0,506.0,16.0,571.0,584.0,10.0,627.0,626.0,647.0,678.0,6.0,43.0,43.0,43.0,43.0,940.0,1155.0,1253.0,1325.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,27.0,451.0,473.0,0.0,,526.0,18.0,,,,634.0,14.0,70.0,70.0,70.0,70.0,924.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,614.0,629.0,15.0,,,,8.0,,,,1243.0,,,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,,,1.0
2.0,2.0,1.0,1.0,,,,,,,4.0,599.0,,650.0,636.0,4.0,,,20.0,20.0,,,,1286.0,,,0.0,0.0,,,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,1.0
